Date,"Pump #1
Meter","Pump #2
Meter",
1-Jan-17,4711,4979.7,
2-Jan-17,4716.9,4983.7,
3-Jan-17,4721.2,4989.6,
4-Jan-17,4727.4,4995.5,
5-Jan-17,4731.2,4999.1,
6-Jan-17,4736.2,5004,
7-Jan-17,4740.3,5007.7,
8-Jan-17,4749.8,5015.7,
9-Jan-17,4751.8,5018.9,
10-Jan-17,4755.4,5022.5,
11-Jan-17,4761.4,5028.7,
12-Jan-17,4766.2,5033.6,
13-Jan-17,4771.3,5038.9,
14-Jan-17,4776.2,5044.1,
15-Jan-17,4781.7,5050.1,
16-Jan-17,4787.6,5056,
17-Jan-17,4793.8,5062.6,
18-Jan-17,4799.2,5068.3,
19-Jan-17,4806.6,5076.5,
20-Jan-17,4811.2,5080.9,
21-Jan-17,4816,5086.9,
22-Jan-17,4823.2,5093.7,
23-Jan-17,4836.2,5106.9,
24-Jan-17,4836.2,5106.9,
25-Jan-17,4842,5113.2,
26-Jan-17,4847.2,5118.5,
27-Jan-17,4853.2,5124.5,
28-Jan-17,4859,5130.1,
29-Jan-17,4864.3,5135.3,
30-Jan-17,4870.4,5140.6,
31-Jan-17,4876.4,5146.7,
1-Feb-17,4876.9,5146.7,
2-Feb-17,4888.9,5164.5,
3-Feb-17,4890.9,5164.5,
4-Feb-17,4895.5,5164.5,
5-Feb-17,4900.8,5165.2,
6-Feb-17,4907.5,5176.7,
7-Feb-17,4912.1,5181.2,
8-Feb-17,4916.2,5183.2,
9-Feb-17,4922.8,5191.3,
10-Feb-17,4926.7,5195,
11-Feb-17,4931.7,5200,
12-Feb-17,4936.7,5204.8,
13-Feb-17,4943.7,5211.4,
14-Feb-17,4947.2,5214.7,
15-Feb-17,4952.7,5220.9,
16-Feb-17,4958.3,5225.7,
17-Feb-17,4963.2,5230.7,
18-Feb-17,4967.2,5234.8,
19-Feb-17,4972.4,5240.2,
20-Feb-17,4977.9,5245.6,
21-Feb-17,4982.7,5250.6,
22-Feb-17,4987.8,5255.5,
23-Feb-17,4992.5,5260.3,
24-Feb-17,4997.9,5265.7,
25-Feb-17,5001.9,5269.7,
26-Feb-17,5006.5,5274.5,
27-Feb-17,5013.3,5281.3,
28-Feb-17,5017.2,5285.2,
1-Mar-17,5022.2,5290,
2-Mar-17,5027.4,5295.4,
3-Mar-17,5044.5,5296.6,
4-Mar-17,5044.9,5297.1,
5-Mar-17,5045.5,5297.6,
6-Mar-17,5045.9,5298,
7-Mar-17,5046.3,5298.4,
8-Mar-17,5046.6,5298.8,
9-Mar-17,5047.1,5299.2,
10-Mar-17,5047.5,5299.7,
11-Mar-17,5047.9,5300,
12-Mar-17,5048.2,5300.4,
13-Mar-17,5048.8,5301,
14-Mar-17,5049.2,5301.4,
15-Mar-17,5050,5302.2,
16-Mar-17,5050.5,5302.8,
17-Mar-17,5051.2,5303.3,
